"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQSMNORXWHKMKNCDEGGFB00777049";2023;1;1;1;42;"S";10;572;1;"";3;1;"";1;2;1;1;"";1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;6;0;6;462000;"10";"10";"10";"10";"";"10";77000;"6";"6";"7";"6";"";"6";1100;2;6;1;3;4;0
"TQRMNOQPYHJMLQCDEGPDJ00795364";2023;1;1;1;40;"N";19;201;1;"";3;1;"";4;1;1;1;"";1;1;1;1;1;2;2;3;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;1;0;1;75000;"2";"2";"2";"";"2";"2";75000;"6";"6";"7";"";"6";"7";201;1;0;98;0;0;0
"TQRMNORTQHMMLNCDEGJBF00799748";2023;1;1;1;43;"S";13;641;1;"";3;1;"";2;1;1;1;"";1;1;1;2;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;"";2;"";2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;1;0;1;94000;"2";"3";"2";"2";"";"2";94000;"7";"7";"7";"7";"";"7";671;1;0;98;0;0;0
"TQRMNOPYWHKMKUCDEGJBF00777350";2023;1;1;1;43;"S";13;622;1;"";4;1;"";1;1;1;1;"";1;1;1;2;2;2;2;4;3;1;1;1;1;1;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;1;1;1;2;2;2;3;0;3;270000;"8";"8";"8";"8";"";"8";90000;"7";"7";"6";"7";"";"6";655;1;2;3;0;0;0
"TQRMNORUQHKMKUCDEGJBF00777524";2023;1;1;1;43;"S";13;622;1;"";4;1;"";2;1;1;1;"";1;1;1;3;2;2;2;4;1;1;1;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;270000;"8";"8";"8";"8";"";"8";270000;"10";"10";"10";"10";"";"10";689;1;0;96;0;0;0
"TQRMNORVQHLOKTCDEGJBF00777341";2023;1;1;1;43;"S";13;613;1;"";2;2;"";2;2;2;1;"";1;1;2;3;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;1;0;1;88000;"2";"2";"2";"2";"";"2";88000;"7";"7";"6";"7";"";"6";625;1;0;98;0;0;0
"TQRMNORVSHLOKTCDEGJBF00716037";2023;1;1;1;43;"S";13;619;1;"";3;1;"";3;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;116000;"3";"3";"3";"3";"";"3";58000;"5";"5";"4";"4";"";"4";639;2;0;97;0;0;0
"TQRMNORUTHJLKUCDEGJBF00795871";2023;1;1;1;43;"S";13;806;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;1;2;0;2;0;3;"";1;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;540000;"10";"10";"10";"10";"";"10";270000;"10";"10";"10";"10";"";"10";885;1;2;98;0;0;0
"TQRMNORVVHLMLMCDEGJBF00716254";2023;1;1;1;43;"S";13;660;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;2;0;2;155000;"5";"5";"5";"5";"";"5";77500;"6";"6";"6";"6";"";"6";705;1;2;98;0;0;0
"TQRMNORPPHKLLMCDEGJBF00777508";2023;1;1;1;43;"S";13;493;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;80000;"2";"2";"2";"2";"";"2";80000;"6";"6";"6";"6";"";"6";534;2;0;98;0;0;0
