"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNOPUUHJLKRCDEFMDB00782399";2023;2;1;1;43;"N";6;254;1;"";7;1;"";1;1;1;1;"";1;1;1;1;2;2;2;7;3;2;0;1;2;1;2;0;2;0;2;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;5;4;3;0;0;0
"TQRMNORQRHLMKSCDEFMDB00804030";2023;2;1;1;43;"N";6;195;1;"";1;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;3;0;3;184000;"5";"5";"5";"";"5";"5";61333,33;"4";"4";"4";"";"4";"4";238;2;0;98;0;0;0
"TQRMNOTVVHMOKTCDEFMDB00804031";2023;2;1;1;43;"N";6;228;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;1;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;0;2;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;2;98;0;0;0
"TQRMNOPUTHLLMLCDEIIAD00806980";2023;2;1;1;1;"S";32;2816;2;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;210000;"6";"";"6";"6";"";"4";52500;"3";"";"3";"3";"";"2";4347;1;0;98;0;0;0
"TQRMNOPYPHMOLLCDEGNFJ00800107";2023;2;2;1;44;"N";17;177;2;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;2;2;2;0;0;0;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;60000;"1";"1";"1";"";"1";"1";60000;"4";"4";"3";"";"4";"3";264;1;0;98;0;0;0
"TQRMNORXWHMMKTCDEHMHF00800998";2023;2;1;1;42;"N";26;154;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;1;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;3;0;3;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;2;3;0;0;0
"TQRMNORUQHMMLRCDEHJGH00800818";2023;2;1;1;40;"S";23;242;1;"";5;1;"";2;1;1;1;"";1;1;1;1;2;2;2;5;2;1;1;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;69000;"1";"1";"1";"1";"";"1";34500;"2";"2";"2";"2";"";"2";252;1;0;98;0;0;0
"TQRMNOPRQHMNMLCDEHJGH00800709";2023;2;1;1;40;"S";23;356;1;"";3;2;"";4;2;1;1;"";1;1;2;1;2;2;2;3;2;2;0;2;2;2;0;0;0;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;236000;"6";"7";"7";"6";"";"6";47200;"3";"3";"4";"3";"";"4";353;4;0;3;0;0;0
"TQRMNOSRVHKOMMCDEHJGH00778760";2023;2;1;1;40;"S";23;412;1;"";4;1;"";4;1;1;1;"";1;1;1;2;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;4;0;4;298000;"7";"8";"8";"7";"";"8";74500;"5";"5";"7";"5";"";"6";421;1;2;96;0;0;0
"TQRMNOQTVHMOKRCDEHNHB00806358";2023;2;1;1;42;"S";27;377;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;150000;"4";"4";"4";"4";"";"3";75000;"5";"5";"6";"5";"";"6";377;2;1;98;0;0;0
