"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V2_02";"V2_03";"V21_01";"V22_01";"V3";"V4";"V5_02";"V5_03";"V6";"V7";"V8";"V9";"V10";"V11_01";"V11_02";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"V5_01";"V21_02";"V21_03";"V22_02";"V22_03";"V2_01"
"TQRMNOSPQHLLKRCDEGGFB00895161";2026;1;1;1;42;"S";10;430;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;3;2;0;1;2;1;2;0;1;1;1;"";1;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;0;12;12;12;12;;12;0;12;12;12;12;;12;0;2;0;1;3;4;0;2;2;2;1;2;1
"TQSMNOPPVHJNKPCDEGGFB00876132";2026;1;1;1;42;"S";10;450;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;1;2;0;2;0;6;"";2;"";1;1;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;4;0;4;805000;2;2;2;2;;2;201250;1;1;1;1;;1;843;2;0;3;4;0;0;2;2;1;2;1;2
"TQRMNORSRHLMKQCDEGGFB00895994";2026;1;1;1;42;"S";10;597;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;700000;2;2;2;2;;2;700000;6;6;7;6;;7;896;1;0;97;0;0;0;2;2;2;2;2;1
"TQRMNOQWTHMMKRCDEFJAH00882721";2026;1;1;1;43;"N";3;219;2;"";2;1;"";9;1;1;1;"";1;1;1;2;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;750000;2;2;2;;2;2;750000;7;7;6;;7;6;380;1;0;98;0;0;0;2;2;2;2;2;0
"TQRMNOPRRHJMKQCDEFJAH00904101";2026;1;1;1;43;"N";3;338;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1559000;5;6;6;;6;6;779500;7;7;6;;7;6;632;2;0;98;0;0;0;2;2;2;2;2;1
"TQRMNORSPHLLKRCDEIKAH00894839";2026;1;1;1;43;"S";34;817;2;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;2;2;2;2;0;2;1500000;5;5;5;5;;4;750000;6;7;6;6;;6;2007;2;0;98;0;0;0;2;2;2;2;2;0
"TQRMNOPWYHMMKQCDEIKAH00877637";2026;1;1;1;43;"S";34;412;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;3;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;12;12;12;12;;12;0;12;12;12;12;;12;0;1;0;2;0;0;0;2;2;2;2;2;0
"TQRMNORRQHKLKTCDEIKAH00904102";2026;1;1;1;43;"S";34;1107;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;12;12;12;12;;12;0;12;12;12;12;;12;0;1;0;97;0;0;0;2;2;2;2;2;1
"TQRMNOPUWHJOMLCDEGGFB00877588";2026;1;1;1;42;"S";10;873;1;"";4;1;"";3;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1580000;5;6;6;5;;6;790000;7;7;8;7;;7;1558;1;0;98;0;0;0;2;1;2;1;2;2
"TQRMNOPPYHJNKPCDEGGFB00878027";2026;1;1;1;42;"S";10;414;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;3;0;3;1200000;4;4;4;4;;4;400000;3;3;4;3;;4;972;1;2;98;0;0;0;2;2;2;2;2;0
"TQRMNORTVHJMKTCDEGGFB00876317";2026;1;1;1;42;"S";10;612;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;1;0;1;0;12;12;12;12;;12;0;12;12;12;12;;12;0;1;0;98;0;0;0;2;2;2;2;2;1
"TQRMNOSRVHJOMMCDEHPJB00876874";2026;1;1;1;40;"S";29;452;2;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;2;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;1;2;2;2;4;1;3;2656000;8;8;9;8;;9;664000;6;6;7;6;;7;502;1;0;98;0;0;0;1;2;2;2;2;0
