"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNORYRHMMLOCDEGIBJ00809888";2023;3;1;1;41;"N";12;230;1;"";4;1;"";3;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;580000;"9";"9";"10";"";"9";"9";290000;"9";"10";"10";"";"10";"10";251;1;0;98;0;0;0
"TQRMNOSVPHKNKMCDEFOCD00788272";2023;3;1;1;41;"N";8;103;1;"";3;2;"";4;2;1;1;"";1;1;1;2;2;2;2;3;2;2;0;2;2;2;0;0;0;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;240000;"5";"5";"6";"";"5";"8";60000;"3";"3";"4";"";"3";"6";109;2;0;98;0;0;0
"TQRMNOQWTHMMKNCDEGGFB00809777";2023;3;1;1;42;"S";10;591;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;1;1;1;1;1;2;0;2;0;8;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;5;1;4;750000;"10";"10";"10";"10";"";"10";150000;"7";"7";"8";"7";"";"8";534;1;2;98;0;0;0
"TQRMNOSPPHLLKPCDEGGFB00804675";2023;3;1;1;42;"S";10;489;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;0;2;800000;"10";"10";"10";"10";"";"10";400000;"10";"10";"10";"10";"";"10";869;1;0;2;0;0;0
"TQRMNORPYHKMNNCDEIJAH00793451";2023;3;1;1;1;"S";33;1425;1;"";5;1;"";4;1;1;2;"";1;1;1;2;2;2;2;5;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;220000;"4";"";"4";"4";"";"4";220000;"9";"";"8";"8";"";"9";1684;1;0;98;0;0;0
"TQRMNOQYTHMMMUCDEIJAH00812825";2023;3;1;1;1;"S";33;804;1;"";2;1;"";4;1;1;1;"";1;1;1;2;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;0;98;0;0;0
"TQRMNOPSWHJONQCDEIJAH00786224";2023;3;1;1;1;"S";33;1112;1;"";3;1;"";4;1;1;2;"";1;1;1;3;2;2;2;3;2;2;0;1;2;2;2;0;2;0;2;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;4;0;4;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;0;1;3;4;0
"TQTMNOPSXHJONQCDEIJAH00786120";2023;3;1;1;1;"S";33;1002;1;"";1;2;"";4;2;2;2;"";2;0;0;0;2;1;2;1;1;2;0;2;2;2;0;0;0;0;6;"";4;"electricidad";4;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;5;0;5;500000;"8";"";"8";"8";"";"8";100000;"5";"";"4";"5";"";"5";2514;1;2;3;4;5;0
"TQRMNOPSTHKNNOCDEIJAH00791652";2023;3;1;1;1;"S";33;564;1;"";5;1;"";2;1;1;1;"";1;1;1;1;2;2;2;5;3;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;2;3;4;0;0
"TQRMNOQVXHKONPCDEIJAH00792206";2023;3;1;1;1;"S";33;797;1;"";2;1;"";4;1;1;2;"";1;1;2;3;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;149000;"2";"";"2";"2";"";"2";149000;"7";"";"7";"7";"";"7";1125;1;0;98;0;0;0
"TQRMNOSYVHJONTCDEIJAH00791577";2023;3;1;1;1;"S";33;715;1;"";3;1;"";3;1;1;1;"";1;1;1;2;2;2;2;3;3;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;6;0;6;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;2;98;0;0;0
"TQSMNORPUHLMNQCDEIJAH00807119";2023;3;1;1;1;"S";33;655;2;"";2;1;"";4;1;1;2;"";1;1;1;2;2;2;2;2;1;2;0;1;1;2;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;610000;"9";"";"9";"9";"";"9";305000;"10";"";"9";"10";"";"10";1244;1;0;2;0;0;0
"TQRMNOSVQHKMNRCDEIJAH00791855";2023;3;1;1;1;"S";33;1596;2;"";4;1;"";2;1;1;2;"";1;1;1;2;2;2;2;4;4;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;8;2;6;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;1;4;5;0;0
"TQRMNOSTUHLKKTCDEGPDJ00805555";2023;3;1;1;40;"N";19;300;1;"";3;2;"";4;2;1;1;"";1;2;1;1;1;2;2;3;2;2;0;1;2;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;0;2;90000;"1";"1";"2";"";"1";"1";45000;"2";"2";"2";"";"2";"3";303;1;0;98;0;0;0
"TQRMNOQWPHJOKQCDEGJBF00789004";2023;3;1;1;43;"S";13;609;1;"";2;2;"";2;1;1;1;"";1;1;1;2;2;2;2;2;1;2;0;1;2;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;160000;"3";"3";"3";"3";"";"3";80000;"4";"4";"4";"4";"";"4";629;1;0;2;0;0;0
"TQRMNORXVHLNKTCDEIIAD00806856";2023;3;1;1;1;"S";32;2515;2;"";5;1;"";9;1;1;1;"";1;1;1;1;2;2;2;5;3;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;0;98;0;0;0
"TQRMNOQUQHJMKTCDEFOCD00782680";2023;3;1;1;41;"N";8;427;2;"";2;1;"";4;2;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;60000;"1";"1";"1";"";"1";"1";30000;"1";"1";"1";"";"1";"2";513;1;0;98;0;0;0
"TQRMNORXQHJMKTCDEFOCD00782666";2023;3;1;1;41;"N";8;375;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;2;0;98;0;0;0
"TQRMNOSRXHJOKUCDEFOCD00788282";2023;3;1;1;41;"N";8;355;1;"";2;1;"";4;1;1;1;"";1;1;1;2;2;2;2;2;1;1;1;1;1;1;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;1;0;1;255000;"5";"5";"6";"";"5";"8";255000;"9";"9";"10";"";"9";"10";393;1;0;98;0;0;0
"TQRMNOPWQHKMLMCDEFOCD00788369";2023;3;1;1;41;"N";8;473;1;"";8;1;"";4;1;1;1;"";1;1;1;1;2;2;2;8;2;1;1;1;1;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;2;0;98;0;0;0
"TQRMNOPRTHMOLMCDEIMBF00813098";2023;3;1;1;43;"N";36;124;1;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;0;98;0;0;0
"TQRMNOQWRHMOLMCDEIMBF00813099";2023;3;1;1;43;"N";36;132;1;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;230000;"4";"5";"5";"";"5";"5";76666,67;"4";"4";"3";"";"4";"4";201;1;0;2;3;0;0
"TQRMNOURTHJMLLCDEIMBF00786743";2023;3;1;1;43;"N";36;159;2;"";1;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;200000;"4";"4";"4";"";"4";"5";200000;"8";"9";"8";"";"9";"8";152;97;0;98;0;0;0
"TQRMNOTPRHJLLMCDEIMBF00786729";2023;3;1;1;43;"N";36;364;2;"";1;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;0;2;140000;"2";"2";"2";"";"2";"3";70000;"3";"3";"3";"";"4";"3";381;97;0;98;0;0;0
"TQRMNOUYQHLMKTCDEIMBF00808136";2023;3;1;1;43;"N";36;289;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;0;2;420000;"8";"8";"8";"";"8";"8";210000;"8";"9";"8";"";"9";"8";363;1;0;98;0;0;0
"TQRMNOQRQHKMLOCDEIMBF00792587";2023;3;1;1;43;"N";36;148;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;3;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;218000;"4";"5";"5";"";"5";"5";72666,67;"3";"4";"3";"";"4";"3";165;2;0;1;0;0;0
"TQRMNOSPYHLMLPCDEIMBF00808144";2023;3;1;1;43;"N";36;185;1;"";1;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;56000;"1";"1";"1";"";"1";"1";56000;"2";"3";"2";"";"3";"2";191;1;0;98;0;0;0
"TQRMNOSQVHLNLQCDEIMBF00808145";2023;3;1;1;43;"N";36;193;1;"";3;1;"";3;1;1;1;"";1;1;1;3;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;290000;"6";"6";"6";"";"6";"6";145000;"7";"7";"7";"";"7";"7";277;1;0;98;0;0;0
"TQRMNORPSHMMKTCDEFOCD00809506";2023;3;1;1;41;"N";8;329;1;"";4;1;"";5;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;180000;"3";"4";"4";"";"4";"6";180000;"8";"8";"9";"";"8";"10";414;1;0;98;0;0;0
"TQRMNOPSUHLOKQCDEGIBJ00804795";2023;3;1;1;41;"N";12;440;2;"";1;1;"";2;1;1;1;"";1;1;1;1;1;2;2;1;1;2;0;1;1;1;2;0;2;0;3;"";2;"";1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;1;2;2;2;3;1;2;122672;"2";"2";"3";"";"2";"2";40890,67;"2";"2";"2";"";"2";"2";445;2;0;1;0;0;0
"TQRMNORSTHKMQUCDEIJAH00791546";2023;3;1;1;1;"S";33;4325;1;"";3;1;"";2;1;1;1;"";1;1;2;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;9;3;6;335000;"6";"";"6";"6";"";"6";37222,22;"1";"";"1";"1";"";"2";8472;1;2;98;0;0;0
"TQRMNOTSPHKMQUCDEIJAH00791559";2023;3;1;1;1;"S";33;1664;1;"";3;1;"";2;2;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;300000;"6";"";"5";"6";"";"6";300000;"10";"";"9";"9";"";"10";2068;1;0;98;0;0;0
"TQRMNOTSSHKMQUCDEIJAH00791565";2023;3;1;1;1;"S";33;4661;1;"";5;1;"";2;1;1;1;"";1;1;1;1;2;2;2;5;1;2;0;2;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;0;4;400000;"7";"";"7";"7";"";"7";100000;"5";"";"4";"5";"";"5";7439;1;2;98;0;0;0
"TQRMNOTYRHLMRRCDEIJAH00812816";2023;3;1;1;1;"S";33;1983;1;"";2;1;"";1;2;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;3;0;3;302800;"6";"";"6";"6";"";"6";100933,33;"5";"";"5";"5";"";"5";4664;2;0;1;3;0;0
"TQRMNOPYPHLOSLCDEIJAH00812817";2023;3;1;1;1;"S";33;1779;2;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;1;2;2;0;2;0;8;"";1;"";1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;4;0;4;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;2;98;0;0;0
"TQRMNOPVWHMOSLCDEIJAH00812818";2023;3;1;1;1;"S";33;1596;1;"";3;1;"";1;1;1;1;"";1;1;1;1;1;2;1;3;2;2;0;1;2;2;2;0;2;0;7;"";1;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;213000;"4";"";"4";"4";"";"4";71000;"3";"";"3";"3";"";"4";2890;1;3;98;0;0;0
"TQRMNORPRHLMSMCDEIJAH00807536";2023;3;1;1;1;"S";33;2194;1;"";3;1;"";2;1;1;2;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;88000;"1";"";"1";"1";"";"1";88000;"4";"";"4";"4";"";"5";2402;1;0;98;0;0;0
"TQRMNOTSUHMNSMCDEIJAH00812819";2023;3;1;1;1;"S";33;615;1;"";4;1;"";4;1;1;1;"";1;1;1;2;2;2;2;4;1;2;0;1;2;1;2;0;2;0;1;"";1;"";1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;0;2;262000;"5";"";"5";"5";"";"5";131000;"6";"";"6";"6";"";"7";914;1;2;98;0;0;0
"TQRMNOSQVHMLSNCDEIJAH00812820";2023;3;1;1;1;"S";33;7236;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;1;1;1;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;1;0;1;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;0;98;0;0;0
"TQRMNORWYHKLNSCDEIJAH00791830";2023;3;1;1;1;"S";33;1321;1;"";4;1;"";3;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;0;3;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;3;98;0;0;0
"TQRMNOTWQHLMNSCDEIJAH00807120";2023;3;1;1;1;"S";33;920;1;"";4;1;"";1;1;1;1;"";1;1;1;2;2;2;2;4;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;160000;"3";"";"2";"3";"";"3";80000;"4";"";"4";"4";"";"4";1249;1;0;2;0;0;0
"TQRMNOTWRHLMNSCDEIJAH00807121";2023;3;1;1;1;"S";33;1342;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;80000;"1";"";"1";"1";"";"1";80000;"4";"";"4";"4";"";"4";1683;1;0;98;0;0;0
"TQRMNOQVRHJOKNCDEFJAH00781950";2023;3;1;1;43;"N";3;301;1;"";5;1;"";3;1;1;1;"";1;1;1;1;2;2;2;5;1;1;1;1;1;1;2;0;2;0;1;"";1;"";1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;0;98;0;0;0
"TQRMNOPRRHMMKNCDEFJAH00808792";2023;3;1;1;43;"N";3;247;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;0;98;0;0;0
"TQRMNOPRRHJMLOCDEFMDB00782469";2023;3;2;1;43;"N";6;190;1;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;1;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;0;98;0;0;0
"TQRMNORVVHMMLOCDEFMDB00809289";2023;3;1;1;43;"N";6;274;1;"";4;1;"";2;1;1;1;"";1;1;1;2;2;2;2;4;2;1;1;1;1;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;96;0;1;0;0;0
"TQRMNOPRYHMMLPCDEFMDB00809290";2023;3;1;1;43;"N";6;186;1;"";3;1;"";4;2;1;1;"";1;1;1;1;2;2;2;3;2;1;1;2;2;2;0;0;0;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;3;0;3;810000;"10";"10";"10";"";"10";"10";270000;"9";"9";"9";"";"9";"9";585;1;0;2;3;0;0
"TQRMNOPYQHMMLPCDEFMDB00809291";2023;3;1;1;43;"N";6;227;1;"";3;2;"";2;2;1;1;"";1;1;1;1;2;2;2;3;1;2;0;2;2;2;0;0;0;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;73000;"1";"1";"1";"";"1";"1";73000;"3";"4";"3";"";"4";"3";287;1;0;98;0;0;0
"TQRMNOSSPHMOLQCDEFMDB00809292";2023;3;1;1;43;"N";6;183;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;0;2;0;0;0
"TQRMNOPUUHLLLPCDEFMDB00809293";2023;3;1;1;43;"N";6;185;1;"";4;1;"";4;1;1;1;"";1;1;1;1;1;2;2;4;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;4;0;4;750000;"10";"10";"10";"";"10";"9";187500;"8";"8";"8";"";"8";"8";319;2;0;98;0;0;0
