"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V2_02";"V2_03";"V21_01";"V22_01";"V3";"V4";"V5_02";"V5_03";"V6";"V7";"V8";"V9";"V10";"V11_01";"V11_02";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"V5_01";"V21_02";"V21_03";"V22_02";"V22_03";"V2_01"
"TQRMNOQYYHKMLLCDEHIBB00871854";2024;3;1;1;40;"N";22;88;1;"";3;1;"";1;1;1;1;"";1;1;1;1;1;1;1;3;1;2;0;1;1;1;2;0;2;0;8;"";1;"";1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;920000;6;6;6;;6;7;460000;7;7;8;;7;9;95;2;0;1;0;0;0;2;2;2;2;2;1
"TQRMNORURHKOKMCDEGGFB00871754";2024;3;1;1;42;"S";10;57;1;"";2;1;"";1;2;3;1;"";1;1;2;2;2;2;2;2;1;2;0;1;2;1;2;0;2;0;6;"";4;"electricidad";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;400000;2;2;2;2;;2;400000;6;6;7;6;;7;77;1;0;98;0;0;0;2;2;2;2;2;0
"TQRMNORUSHKOKMCDEGGFB00867050";2024;3;1;1;42;"S";10;40;1;"";5;1;"";3;2;1;1;"";1;1;1;1;2;2;2;5;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;751000;4;5;5;4;;5;751000;9;9;9;9;;9;60;1;0;97;0;0;0;2;1;2;1;2;2
"TQRMNOPVWHKNLLCDEGOIH00870782";2024;3;2;1;40;"N";18;191;1;"";2;1;"";1;1;1;1;"";1;1;1;2;2;2;2;1;1;2;0;1;2;2;2;0;2;0;6;"";2;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;2;2;300000;1;2;2;;2;1;75000;1;1;1;;1;1;207;2;0;98;0;0;0;1;2;2;2;2;0
"TQRMNOPVWHKNLLCDEGOIH00870782";2024;3;1;1;40;"N";18;314;1;"";2;1;"";1;1;1;1;"";1;1;1;2;2;2;2;1;1;2;0;1;2;2;2;0;2;0;6;"";3;"";1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;343000;2;2;2;;2;2;171500;2;2;3;;3;4;350;2;0;98;0;0;0;2;2;1;2;1;2
"TQRMNOPQXHKLKUCDEOJAH00869358";2024;3;1;1;44;"N";93;200;2;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;2;0;2;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;98;0;0;0;2;2;2;2;2;0
"TQRMNOTYSHKOLMCDEGIBJ00871318";2024;3;1;1;41;"N";12;274;1;"";4;2;"";4;2;2;1;"";1;2;2;1;2;2;2;4;3;2;0;2;1;2;2;0;2;0;1;"";2;"";1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;7;0;7;902339;5;6;8;;6;7;128905,57;1;2;2;;2;2;273;2;0;4;0;0;0;2;2;2;2;2;1
"TQRMNOSVPHKOLTCDEHJGH00871132";2024;3;1;1;40;"S";23;265;1;"";2;1;"";4;1;1;1;"";1;2;1;2;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;5;0;5;490000;2;3;3;2;;3;98000;1;1;1;1;;1;254;1;0;3;4;0;0;2;2;2;2;2;0
"TQRMNOTQWHKLKMCDEGOIH00868137";2024;3;1;1;40;"N";18;66;1;"";4;1;"";3;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;1050000;6;7;7;;7;7;262500;4;4;5;;4;6;69;2;0;98;0;0;0;2;2;2;2;2;1
"TQRMNOPYRHMOKMCDEFLID00869193";2024;3;1;1;43;"S";5;646;1;"";5;1;"";4;1;1;2;"";1;1;1;2;2;2;2;5;4;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;1;4;0;12;12;12;12;;12;0;12;12;12;12;;12;0;2;1;3;4;5;0;2;2;2;2;2;0
