"fecha","priv_formal","pub_nacional","pub_provincial","universidades"
2023-01-01,98.0744458261773,102.108550051182,99.3036132862844,98.1853550780318
2023-02-01,99.3649893108492,97.9781295166096,96.8919331987506,91.7456741287906
2023-03-01,101.311011137633,107.371665141481,104.22336463403,103.738504593308
2023-04-01,102.588775690723,101.584194466815,100.114909705409,102.284905702642
2023-05-01,98.4243874848107,92.1079166047561,99.3397774929849,91.7160423443441
2023-06-01,95.6166184742822,95.1440105640014,97.3751263772292,100.19332489749
2023-07-01,98.7651391824004,107.715256408101,103.321685755767,105.475251247181
2023-08-01,103.30756827023,100.434861557248,98.7934376185613,103.638688532832
2023-09-01,102.547064622893,95.5554156898059,100.636151930983,103.022253475381
2023-10-01,101.8491140742,105.596164454774,99.6356976632265,107.546306437404
2023-11-01,102.325384342402,100.259247080931,97.0729962807441,105.417201946052
2023-12-01,90.1082875337831,89.8524828877286,81.6033214756788,89.9477593103344
2024-01-01,91.9403631130184,80.0672021859156,78.26510207166,74.76875246263
2024-02-01,91.1861168280564,79.1540802306307,76.9571989943574,74.2360717029954
2024-03-01,87.2729822031806,75.2541993021122,74.5781231649898,72.3285639667228
2024-04-01,88.0391912485575,69.8827692468027,70.889032924413,68.7380834138112
2024-05-01,87.4884106658703,68.8261721218049,74.7691356809858,71.9918707833754
2024-06-01,85.738892521495,66.975808089097,72.140156595197,69.6278596270274
2024-07-01,88.8949518211026,66.1886198978783,75.4098566562658,72.5340530338806
2024-08-01,88.5695417534235,65.8074660289006,75.7472075314435,70.7499772383722
2024-09-01,88.6092400510539,65.2576383445463,76.5501046521905,70.4735602119788
2024-10-01,91.9922655821902,64.8931850297943,78.3685304019719,73.6087403582453
2024-11-01,91.4984471823006,63.9521298338169,78.6812109718417,73.0714862147058
2024-12-01,92.4067932137016,63.5127224017862,78.0102780114951,71.9073009473019
2025-01-01,92.9383555790319,62.4216876522851,77.4276455968364,71.5817654309428
2025-02-01,93.3262863829944,61.9653553713742,79.8003498709193,70.8624154554234
2025-03-01,93.2409684108642,61.7364581847448,79.7752642840621,69.3143021844259
2025-04-01,92.424424106466,61.7634021884216,79.5146897106487,68.4192244008514
2025-05-01,91.3355289065209,61.9243837802653,81.5669904398166,68.4354159166188
2025-06-01,92.8233363772476,61.5455375852064,81.3727097242234,68.1580339033369
2025-07-01,92.3187500580662,60.7235803859895,81.8415754706646,67.6887729278783
2025-08-01,92.8033272564373,61.2872662519396,82.5692051784939,67.2156294545152
2025-09-01,91.844922068927,60.758042984355,81.734953203456,66.5957493673693
2025-10-01,92.1579893761227,60.2322364467937,81.7319893709464,65.9346534087494
2025-11-01,90.634793659807,59.3560792827202,80.4317437711228,64.8664637554596
2025-12-01,92.1125308792649,58.1914455353309,78.8847983072409,64.1979316222633
2026-01-01,91.5562492487255,58.0709028959179,78.4899469845132,64.3537608845931
2026-02-01,90.1099814841553,55.7099393904846,77.0579584759132,62.725501231186
2026-03-01,87.7893149979338,56.5330623990631,77.3982011690004,61.3718911488046
2026-04-01,88.6249711666199,56.0103818477547,77.3920755522557,60.8642773155276
2026-05-01,86.1043556867253,55.8875166148303,76.8736394473102,60.504222901458
2026-06-01,85.4425288585831,55.5293280165274,77.0531433650037,72.1242338444351
