"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V2_02";"V2_03";"V21_01";"V22_01";"V3";"V4";"V5_02";"V5_03";"V6";"V7";"V8";"V9";"V10";"V11_01";"V11_02";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"V5_01";"V21_02";"V21_03";"V22_02";"V22_03";"V2_01"
"TQRMNOQVSHKOLNCDEGGFB00858441";2025;1;1;1;42;"S";10;526;1;"";4;2;"";4;2;1;1;"";1;1;1;2;2;2;2;4;4;2;0;1;2;2;2;0;2;0;1;"";2;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;350400;"1";"1";"1";"1";"";"1";175200;"2";"2";"2";"2";"";"2";683;1;0;98;0;0;0;2;2;2;1;2;2
"TQSMNORTSHMOLTCDEGGFB00877605";2025;1;1;1;42;"S";10;610;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;6;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;3;0;3;1400000;"6";"7";"7";"6";"";"7";466666,67;"5";"6";"6";"5";"";"6";1077;1;2;98;0;0;0;2;2;2;2;2;0
"TQRMNOQQXHMMMLCDEGGFB00877606";2025;1;1;1;42;"S";10;446;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;890000;"4";"4";"4";"4";"";"4";445000;"5";"5";"6";"5";"";"6";478;2;0;1;0;0;0;2;1;2;1;2;1
"TQRMNOTTWHMMLOCDEFIAH00877819";2025;1;1;1;43;"S";2;656;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;"12";"12";"12";"12";"";"12";0;"12";"12";"12";"12";"";"12";0;2;0;98;0;0;0;2;1;2;2;2;1
"TQRMNORQQHLMKOCDEHIBB00853810";2025;1;2;1;40;"N";22;132;1;"";1;1;"";2;1;1;1;"";1;1;1;1;1;1;2;1;1;2;0;1;2;2;2;0;2;0;3;"";2;"";1;2;2;0;0;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;200000;"1";"1";"1";"";"1";"1";200000;"2";"2";"2";"";"2";"3";140;1;0;98;0;0;0;2;2;2;2;2;0
"TQRMNOSYUHMNLMCDEHGHJ00877820";2025;1;1;1;44;"N";20;188;2;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;1800000;"8";"8";"6";"";"8";"6";900000;"8";"9";"7";"";"9";"7";222;1;0;98;0;0;0;2;2;2;2;2;0
"TQRMNOTPTHJNLMCDEHGHJ00875923";2025;1;1;1;44;"N";20;112;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;2;0;1;0;0;0;2;2;2;2;2;1
"TQRMNOPYTHMMLPCDEFMDB00877821";2025;1;1;1;43;"N";6;364;1;"";3;1;"";3;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;2400000;"9";"9";"9";"";"9";"9";800000;"8";"8";"8";"";"8";"8";777;2;3;98;0;0;0;2;2;2;2;2;0
"TQRMNORRSHMMLPCDEFMDB00877822";2025;1;1;1;43;"N";6;272;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;5;2;3;1209000;"6";"6";"6";"";"6";"6";241800;"2";"3";"2";"";"3";"3";482;2;1;98;0;0;0;1;2;2;2;2;0
"TQRMNOTPYHMOLQCDEFMDB00877823";2025;1;1;1;43;"N";6;199;1;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;3;1;2;1070000;"5";"5";"5";"";"5";"5";356666,67;"4";"4";"4";"";"4";"4";310;2;0;98;0;0;0;2;2;2;2;2;0
