"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V2_02";"V2_03";"V21_01";"V22_01";"V3";"V4";"V5_02";"V5_03";"V6";"V7";"V8";"V9";"V10";"V11_01";"V11_02";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"V5_01";"V21_02";"V21_03";"V22_02";"V22_03";"V2_01"
"TQRMNOPPWHJMLLCDEGGFB00866641";2024;2;1;1;42;"S";10;432;1;"";3;1;"";3;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;8;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;250000;2;2;1;2;;1;250000;6;6;6;5;;6;484;1;0;98;0;0;0;2;2;2;2;2;1
"TQRMNOQPVHLMLOCDEGGFB00804611";2024;2;1;1;42;"S";10;569;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;3;0;3;730000;6;7;7;6;;7;243333,33;5;5;6;5;;6;857;2;1;3;0;0;0;2;2;2;1;2;2
"TQRMNOQUXHJOLPCDEGGFB00866642";2024;2;1;1;42;"S";10;444;1;"";2;1;"";1;2;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;12;12;12;12;;12;0;12;12;12;12;;12;0;1;0;98;0;0;0;2;2;2;2;2;1
"TQRMNOQUPHLMLPCDEGOIH00805422";2024;2;1;1;40;"N";18;217;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;4;"";2;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;4;1;3;337000;2;3;3;;3;3;84250;1;1;2;;1;2;225;1;0;3;0;0;0;1;2;2;2;2;0
"TQRMNOQUVHLMLPCDEGOIH00805399";2024;2;1;1;40;"N";18;227;1;"";2;1;"";4;1;1;1;"";1;1;1;2;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1050000;8;8;9;;9;9;525000;9;9;10;;9;10;228;2;0;98;0;0;0;2;2;2;2;2;1
"TQRMNOSQSHLMLPCDEGOIH00805425";2024;2;1;1;40;"N";18;136;1;"";1;2;"";1;1;1;1;"";1;1;1;2;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;4;2;2;640000;5;6;6;;6;6;160000;3;3;4;;4;4;136;2;0;98;0;0;0;2;2;2;2;1;2
"TQRMNOQVVHLLLQCDEGOIH00805495";2024;2;1;1;40;"N";18;262;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;3;0;3;1050000;8;8;9;;9;9;350000;7;7;9;;8;9;255;1;0;3;0;0;0;2;2;2;2;2;0
"TQRMNORYRHJOLQCDEGOIH00866678";2024;2;1;1;40;"N";18;185;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;1;6;1020000;8;8;9;;9;9;145714,29;3;3;4;;3;4;178;2;0;98;0;0;0;2;2;2;2;2;0
"TQRMNOQXTHJNLQCDEHMHF00863522";2024;2;1;1;42;"N";26;185;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;2;3;0;0;0;2;2;2;2;1;2
"TQRMNOQYRHJNLQCDEHMHF00866679";2024;2;1;1;42;"N";26;132;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;204000;1;1;1;;1;1;204000;4;5;5;;5;5;177;1;0;98;0;0;0;2;2;2;1;2;2
