"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V2_02";"V2_03";"V21_01";"V22_01";"V3";"V4";"V5_02";"V5_03";"V6";"V7";"V8";"V9";"V10";"V11_01";"V11_02";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"V5_01";"V21_02";"V21_03";"V22_02";"V22_03";"V2_01"
"TQRMNOQPXHJMLQCDEGPDJ00796236";2023;4;1;1;40;"N";19;144;2;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;0;3;720000;9;9;10;;9;9;240000;8;8;10;;8;9;145;1;2;3;0;0;0;2;2;2;2;2;1
"TQRMNORTUHJOLLCDEGLDF00793147";2023;4;1;1;41;"N";15;161;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;2;0;2;304480;5;5;6;;5;6;152240;6;6;8;;6;8;176;1;0;2;0;0;0;2;2;2;2;2;2
"TQRMNOSRRHLOLOCDEGLDF00853198";2023;4;1;1;41;"N";15;572;3;"";1;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;2;2;2;0;0;0;0;3;"";2;"";1;1;2;0;0;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;1;2;330500;5;6;7;;6;6;110166,67;4;5;6;;5;6;506;1;0;2;0;0;0;1;2;2;2;2;0
"TQRMNORWTHJNLPCDEGLDF00794055";2023;4;1;1;41;"N";15;122;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;2;2;2;0;0;0;0;1;"";2;"";1;2;2;0;0;2;2;2;2;1;2;2;1;2;2;2;2;2;1;2;1;2;1;1;2;2;2;2;0;2;194000;2;3;3;;3;3;97000;4;4;5;;4;5;140;1;0;2;0;0;0;2;2;2;2;2;0
"TQRMNOPUWHMNLQCDEGLDF00853199";2023;4;1;1;41;"N";15;133;1;"";3;1;"";2;2;1;1;"";1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;1;1;1;"";2;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;4;0;4;0;12;12;12;;12;12;0;12;12;12;;12;12;0;3;0;1;0;0;0;2;2;2;2;2;0
"TQRMNORVUHKOKMCDEGPDJ00789820";2023;4;2;1;40;"N";19;138;1;"";5;2;"";4;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;4;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;180000;2;2;3;;3;3;180000;7;7;9;;7;8;139;3;0;98;0;0;0;2;2;2;2;2;1
"TQRMNORSQHJOKPCDEFLID00852004";2023;4;1;1;43;"S";5;146;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;12;12;12;12;;12;0;12;12;12;12;;12;0;1;0;98;0;0;0;2;2;2;2;2;2
"TQRMNORSUHKOKQCDEFLID00787877";2023;4;1;1;43;"S";5;418;1;"";1;2;"";4;2;1;1;"";1;1;2;3;2;2;2;1;1;2;0;1;2;2;2;0;2;0;2;"";2;"";1;2;2;0;0;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;5;3;2;110000;1;1;1;1;;1;22000;1;1;1;1;;1;277;1;0;98;0;0;0;1;2;2;2;2;0
"TQRMNOPYVHKNKRCDEFLID00787765";2023;4;1;1;43;"S";5;705;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;560000;8;8;8;8;;8;186666,67;7;7;7;7;;7;2158;1;0;98;0;0;0;2;2;2;2;2;0
"TQRMNOQQPHJOKQCDEFLID00793131";2023;4;1;1;43;"S";5;429;1;"";6;1;"";2;1;1;1;"";1;1;1;1;2;2;2;6;3;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;0;12;12;12;12;;12;0;12;12;12;12;;12;0;1;0;3;0;0;0;1;2;2;2;2;1
