"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V2_02";"V2_03";"V21_01";"V22_01";"V3";"V4";"V5_02";"V5_03";"V6";"V7";"V8";"V9";"V10";"V11_01";"V11_02";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"V5_01";"V21_02";"V21_03";"V22_02";"V22_03";"V2_01"
"TQRMNOPUSHMOLQCDEFLID00881764";2025;2;1;1;43;"S";5;522;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;720000;"3";"3";"3";"3";"";"3";180000;"2";"2";"1";"2";"";"2";1720;2;0;4;0;0;0;1;2;2;2;2;0
"TQRMNOQRPHKOLTCDEFLID00881765";2025;2;1;1;43;"S";5;346;1;"";3;1;"";4;1;1;1;"";1;1;1;2;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;"12";"12";"12";"12";"";"12";0;"12";"12";"12";"12";"";"12";0;2;0;1;0;0;0;2;2;2;2;2;0
"TQRMNOSTUHMMKOCDEIGED00879108";2025;2;1;1;43;"N";30;163;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;1;2;3;2;1;1;1;2;2;2;0;2;0;6;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;0;2;700000;"3";"3";"3";"";"3";"3";350000;"4";"4";"4";"";"4";"3";220;1;2;97;0;0;0;2;2;2;2;2;0
"TQRMNOQWYHKMKNCDEIGED00857021";2025;2;1;1;43;"N";30;104;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;2;0;0;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;0;3;456000;"2";"2";"2";"";"2";"2";152000;"1";"1";"1";"";"1";"1";117;1;0;3;0;0;0;2;2;2;2;2;0
"TQRMNOPRTHMMKRCDEIGED00878749";2025;2;1;1;43;"N";30;131;1;"";3;1;"";1;1;1;2;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;400000;"1";"1";"1";"";"1";"1";400000;"5";"5";"4";"";"5";"3";130;1;0;96;0;0;0;2;2;2;2;2;1
"TQRMNOPRTHKLKNCDEGKDB00887397";2025;2;1;1;43;"N";14;118;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;3;"";1;"";1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;3;0;3;2839000;"9";"10";"9";"";"10";"10";946333,33;"9";"9";"9";"";"9";"10";182;1;0;98;0;0;0;2;2;2;2;1;2
"TQRMNOPTRHKNKOCDEGKDB00879304";2025;2;1;1;43;"N";14;154;1;"";1;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;"12";"12";"12";"";"12";"12";0;"12";"12";"12";"";"12";"12";0;1;0;98;0;0;0;2;2;2;2;2;0
"TQRMNOPRXHJNNTCDEIIAD00869570";2025;2;1;1;1;"S";32;3306;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;1;0;1;1100000;"5";"";"5";"5";"";"3";1100000;"9";"";"9";"9";"";"7";3398;1;0;98;0;0;0;2;2;2;2;2;0
"TQRMNOPUYHLMKMCDEIJAH00887398";2025;2;1;1;1;"S";33;2134;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;1;2;2;2;2;4;0;4;4500000;"10";"";"10";"10";"";"10";1125000;"9";"";"9";"9";"";"9";5257;2;0;98;0;0;0;2;2;2;2;2;2
"TQRMNOQQQHJOKOCDEHNHB00864762";2025;2;1;1;42;"S";27;511;2;"";3;1;"";9;2;1;1;"";1;1;1;2;2;2;2;3;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;5;2;3;1300000;"6";"6";"6";"6";"";"7";260000;"3";"3";"3";"2";"";"3";430;2;0;98;0;0;0;2;2;2;2;2;0
