"id"|"provincia"|"region"|"subregion"|"trimestre"|"anio"|"pondera"|"cv1c04"|"cv1c05_a"|"cv1c05_b"|"cv1c05_c"|"cv1c05_d"|"cv1c06_e"|"cv1c06_f"|"cv1c07"|"cv1c08"|"cv1c09"|"cv1c10"|"cv1c11"|"cv1c12"|"cv1c13"|"ch01"|"ch02"|"ch03"|"ch04"|"ch05"|"ch06"|"ch07"|"ch08"|"ch09"|"ch10"|"ch11"|"ch12"|"ch13"|"ch14"|"ch15"|"ch16"|"ch17_a"|"ch17_b"|"ch18"|"ch19"|"ch20"|"ch21"|"propauto"|"regten"|"hacina"|"jniveled"|"jsexo"|"jedad_agrup"|"jsitconyugal"|"jdif_lp"|"jestado"|"jocupengh"|"jpercept"|"jcomed"|"tipohog"|"cantping"|"reldep"|"cantmiem"|"cantadequi"|"menor18"|"menor14"|"mayor65"|"dif_lph"|"cant_act"|"permieoc"|"clima_educativo"|"gastot"|"gastotpc"|"gasto_comunh"|"gascomp"|"gasvent"|"gc_01"|"gc_02"|"gc_03"|"gc_04"|"gc_05"|"gc_06"|"gc_07"|"gc_08"|"gc_09"|"gc_10"|"gc_11"|"gc_12"|"gc09_01"|"gc09_02"|"gc09_03"|"gc09_04"|"gc09_05"|"gc09_06"|"gc09_07"|"gc09_08"|"gc09_09"|"fp_contado"|"fp_credito"|"fp_especie"|"fp_prodprop"|"fp_tarjetas"|"fp_otras"|"fp_indef"|"tn_hipsup"|"tn_autoserv"|"tn_negesp"|"tn_restaurant"|"tn_kiosco"|"tn_internet"|"tn_comedor"|"tn_especie"|"tn_otros"|"tn_indef"|"decgaphp"|"decgaphr"|"decgapht"|"quigaphp"|"quigaphr"|"quigapht"|"gasto_imputado"|"m_gasto_imputado"|"ingtoth"|"ingpch"|"m_ingtoth"|"ingtoth_imp"|"qinth_p"|"qinth_r"|"qinth_t"|"dinth_p"|"dinth_r"|"dinth_t"|"qinpch_p"|"qinpch_r"|"qinpch_t"|"dinpch_p"|"dinpch_r"|"dinpch_t"
808189570|6|2|"2C"|3|2018|1421|1|2|3|3|3|3|3|2|1|1|1|2|3|3|1|2|2|1|3|1|1|1|1|1|1|1|1|1|1|1|1|2||2|1|1|1|1|0.666666666666667|2|1|6|5|1|3||"1"|1|4|2|1|2|1.37|0|0|2|2|0||2|29813.054|14906.527|29148.399|29813.054|0|10811.7069|0|0|1667.5|3365|11372.9921|0|508|1245.055|0|519.6|323.2|11331.3069|0|1667.5|3365|11372.9921|508|1100|145.055|323.2|17652.0619|10960.9921|0|0|0|0|4200|0|6220.3914|15341.3626|519.6|0|0|0|0|3204.2|4527.5|9|9|9|5|5|5|97.5|1|20778.3333333333|10389.1666666667|0|0|3|3|3|5|5|5|3|3|3|6|6|6
10216868|6|2|"2C"|3|2018|1746|1|2|2|3|3|3|3|2|1|1|1|1|3|3|5||||3|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|2|2|3|0.333333333333333|3|1|3|5|2|1|1|"1"|2|1|1|1|1|1.02|0|0|0|0|1|1|3|26018.4177|26018.4177|10781.1477|26018.4177|0|2801.51|4806.3|2300|2433.25|713.5177|433|3664|800|2000|0|4806.3|1260.54|8473.81|2300|2433.25|713.5177|433|4743.18|2000|0|4921.66|26018.4177|0|0|0|0|0|4560|0|1136.192|9968.5057|5066.1|6014.37|0|0|0|0|3833.25|10|10|10|5|5|5|558.25|1|31000|31000|0|0|4|4|4|7|7|7|5|5|5|10|10|10
672248538|6|2|"2C"|4|2018|1789|1|3|3|3|3|3|3|4|1|2|1|1|2|3|5||||2|1|1|1|2|1|1|1|1|3|4|1|2|1|1|2|4|2|2|3|0.5|1|1|5|3|2|1|3|"1"|2|1|1|1|1|1|0|0|0|0|1|1|1|14600.17|14600.17|7983.93|14600.17|0|3425.03|0|400|1500|214.6|0|6705|400|1230|0|519.6|205.94|3944.63|400|1500|214.6|0|7105|1230|0|205.94|14600.17|0|0|0|0|0|3000|95.26|948.27|11307.4|0|121.24|0|0|0|0|2128|9|9|9|5|5|5|0|2|4000|4000|0|0|1|1|1|1|1|1|1|1|1|2|2|2
751831758|6|2|"2C"|4|2018|2708|1|3|3|3|3|3|3|2|1|1|1|1|3|3|3||||3|1|1|1|2|1|1|1|1|3|4|1|2|1|2|2|4|1|2|2|1|3|1|3|1|2|1|1|"1"|1|3|1|3|3|2.42|1|1|0|0|1|3|2|41789.29|13929.7633333333|27608.54|41789.29|0|8781.24|1970.15|1300|8040|130|0|9959|4718|3120|0|3160.9|610|13067.94|1300|8040|130|0|14677|3120|0|1454.35|35881.29|5908|0|0|0|0|5400|0|6581.6|22681.74|1125.8|844.35|0|541.25|194.85|389.7|9430|9|8|8|5|4|4|1861.9|1|24333.3333333333|8111.11111111111|0|0|3|3|3|5|6|5|3|3|3|5|5|5
981340917|6|2|"2C"|4|2018|1854|1|3|3|3|3|3|3|4|2|1|1|1|3|2|3||||3|2|1|1|1|1|1|1|1|3|4|1|2|1|1|2|4|2|1|2|1.33333333333333|2|2|4|5|2|1|1|"1"|2|3|1|4|4|3.14|3|2|0|2|1|4|2|16384.091|4096.02275|14368.476|16384.091|0|5075.626|1127.965|300|4500|0|1645.4|0|800|600|0|1299|1036.1|6604.116|300|4500|0|1645.4|800|600|0|1934.575|16384.091|0|0|0|0|0|0|1376.94|3547.136|2495.4|1299|2015.615|0|0|0|0|5650|3|3|3|2|2|2|500|1|7033.33333333333|1758.33333333333|0|0|1|1|1|1|1|1|1|1|1|1|1|1
890753138|6|2|"2C"|4|2018|1870|1|3|3|3|3|3|3|2|2|2|1|1|3|2|1|1|2|1|3|1|1|1|1|1|1|1|1|1|4|1|2|1|1|2|4|2|1|1|0.333333333333333|2|1|4|3|2|1|1|"1"|2|1|1|1|1|1|0|0|0|0|1|1|2|5350.6|5350.6|4094.9|5350.6|0|974.25|1060.85|0|1350|0|0|0|450|0|0|1299|216.5|2273.25|0|1350|0|0|450|0|0|1277.35|5350.6|0|0|0|0|0|2480|0|995.9|250|1299|1255.7|0|0|0|0|1550|4|4|4|2|2|2|300|1|10000|10000|0|0|1|1|1|2|2|2|3|3|3|6|6|6
890930288|6|2|"2C"|4|2018|1686|1|2|2|3|3|3|3|2|1|1|1|1|3|2|1|2|2|1|3|2|1|1|1|1|1|1|1|2|1|1|1|1|2|2|1|1|2|1|0.666666666666667|2|1|5|2|2|1|3|"1"|1|2|2|1|2|1.59|0|0|0|0|2|1|2|32718.1225|16359.06125|27652.0225|68718.1225|-36000|8903.5625|1472.2|600|7784|400|2000|8330|1500|570|0|0|1158.36|10375.7625|600|7784|400|2000|10388.36|570|0|600|68718.1225|0|0|0|0|0|-30000|1109.5625|194.85|15475.51|0|0|0|0|0|2338.2|13600|9|9|9|5|5|5|220|1|40000|20000|0|0|4|4|4|8|8|8|5|5|5|9|9|9
634391809|6|2|"2C"|1|2018|1549|1|3|3|3|3|3|3|1|1|1|1|1|5|2|1|2|2|1|5|1|1|1|1|1|1|1|1|3|4|1|1|1|1|1|4|2|2|1|0.4|1|1|5|2|2|1|1|"1"|1|2|2|1|2|1.5|0|0|1|1|1|2|1|8398.0861|4199.04305|7379.6701|8398.0861|0|2206.0051|259.8|2100|1028.24|521.765|312|866|370|552.416|0|0|181.86|2465.8051|2100|1028.24|521.765|312|1236|552.416|0|181.86|6898.0861|1500|0|0|0|0|3000.1|1044.5692|0|5821.5169|0|0|0|0|0|0|1532|3|3|3|2|2|2|200|1|16504.8333333333|8252.41666666667|0|0|2|2|2|3|3|3|3|3|3|5|5|5
656890959|6|2|"2C"|1|2018|1607|1|2|3|3|3|3|3|4|1|1|1|1|4|2|1|2|2|1|4|2|1|1|1|1|1|1|1|3|3|1|1|1|3|1|3|1|2|1|0.75|2|1|5|2|2|1|1|"1"|1|3|3|1|3|2.52|0|0|0|0|3|1|2|10593.63|3531.21|8342.03|10593.63|0|2649.96|0|1550|2000|168.87|259.8|2165|1300|500|0|0|0|2649.96|1550|2000|168.87|259.8|3465|500|0|0|10593.63|0|0|0|0|0|5000.1|259.8|0|7169.29|0|164.54|0|0|0|0|3000|3|2|3|2|1|2|200|1|32666.6666666667|10888.8888888889|0|0|4|4|4|7|7|7|4|3|4|7|6|7
320918376|6|2|"2C"|1|2018|2063|1|3|3|3|3|3|3|4|1|1|1|1|2|1|2|2|2|2|2|1|1|1|1|1|1|1|1|3|4|1|2|2||1|4|2|1|1|2|1|1|2|1|2|1|1|"1"|2|3|2|2|4|2.77|2|2|0|1|1|4|2|10523.928|2630.982|10092.66|10523.928|0|2797.18|0|1710|2770|385.37|0|223.428|0|2040|0|0|597.95|2797.18|1710|2770|385.37|0|223.428|2040|0|597.95|8100.5|2200|0|0|0|0|1223.428|1242.71|0|4527.45|0|1290.34|0|0|0|0|3463.428|2|1|2|1|1|1|2031.268|1|10733.3333333333|2683.33333333333|0|0|1|1|1|2|2|2|1|1|1|1|1|1
130993039|6|2|"2C"|1|2018|2207|1|3|3|3|3|3|3|2|1|1|1|1|3|2|3||||3|1|1|1|1|1|1|1|1|3|4|1|2|1|2|1|4|2|1|2|0.666666666666667|2|1|3|2|2|1|1|"1"|1|2|2|1|2|1.76|0|0|0|0|2|1|2|15909.69|7954.845|12055.99|15909.69|0|2177.99|995.9|800|7779|0|0|2165|0|0|0|909.3|1082.5|3303.79|800|7779|0|0|2165|0|0|1861.9|14309.69|1600|0|0|0|0|0|616.5|0|5532.69|909.3|1472.2|0|0|0|0|7379|6|6|6|3|3|3|1600|1|23400|11700|0|0|3|3|3|5|5|5|4|4|4|7|7|7
