"fecha","ripte_priv","ist_nom_priv","ist_nom_pub","haber_minimo","sipa_prom_priv","sipa_med_priv"
1981-07-01,NA,NA,NA,1e+06,NA,NA
1981-08-01,NA,NA,NA,1e+06,NA,NA
1981-09-01,NA,NA,NA,1e+06,NA,NA
1981-10-01,NA,NA,NA,1150000,NA,NA
1981-11-01,NA,NA,NA,1150000,NA,NA
1981-12-01,NA,NA,NA,1150000,NA,NA
1982-01-01,NA,NA,NA,1150000,NA,NA
1982-02-01,NA,NA,NA,1150000,NA,NA
1982-03-01,NA,NA,NA,1150000,NA,NA
1982-04-01,NA,NA,NA,1500000,NA,NA
1982-05-01,NA,NA,NA,1500000,NA,NA
1982-06-01,NA,NA,NA,1500000,NA,NA
1982-07-01,NA,NA,NA,1850000,NA,NA
1982-08-01,NA,NA,NA,1850000,NA,NA
1982-09-01,NA,NA,NA,2500000,NA,NA
1982-10-01,NA,NA,NA,2800000,NA,NA
1982-11-01,NA,NA,NA,3276000,NA,NA
1982-12-01,NA,NA,NA,4e+06,NA,NA
1983-01-01,NA,NA,NA,4560000,NA,NA
1983-02-01,NA,NA,NA,5100000,NA,NA
1983-03-01,NA,NA,NA,6e+06,NA,NA
1983-04-01,NA,NA,NA,7e+06,NA,NA
1983-05-01,NA,NA,NA,7840000,NA,NA
1983-06-01,NA,NA,NA,880,NA,NA
1983-07-01,NA,NA,NA,880,NA,NA
1983-08-01,NA,NA,NA,1040,NA,NA
1983-09-01,NA,NA,NA,1400,NA,NA
1983-10-01,NA,NA,NA,1680,NA,NA
1983-11-01,NA,NA,NA,2000,NA,NA
1983-12-01,NA,NA,NA,2380,NA,NA
1984-01-01,NA,NA,NA,2761,NA,NA
1984-02-01,NA,NA,NA,3037,NA,NA
1984-03-01,NA,NA,NA,3341,NA,NA
1984-04-01,NA,NA,NA,4260,NA,NA
1984-05-01,NA,NA,NA,4644,NA,NA
1984-06-01,NA,NA,NA,5387,NA,NA
1984-07-01,NA,NA,NA,6626,NA,NA
1984-08-01,NA,NA,NA,7952,NA,NA
1984-09-01,NA,NA,NA,9630,NA,NA
1984-10-01,NA,NA,NA,12134,NA,NA
1984-11-01,NA,NA,NA,14075,NA,NA
1984-12-01,NA,NA,NA,16328,NA,NA
1985-01-01,NA,NA,NA,19594,NA,NA
1985-02-01,NA,NA,NA,23513,NA,NA
1985-03-01,NA,NA,NA,28216,NA,NA
1985-04-01,NA,NA,NA,36116,NA,NA
1985-05-01,NA,NA,NA,46770,NA,NA
1985-06-01,NA,NA,NA,58510,NA,NA
1985-07-01,NA,NA,NA,58.51,NA,NA
1985-08-01,NA,NA,NA,58.51,NA,NA
1985-09-01,NA,NA,NA,58.51,NA,NA
1985-10-01,NA,NA,NA,67,NA,NA
1985-11-01,NA,NA,NA,67,NA,NA
1985-12-01,NA,NA,NA,67,NA,NA
1986-01-01,NA,NA,NA,70,NA,NA
1986-02-01,NA,NA,NA,70,NA,NA
1986-03-01,NA,NA,NA,70,NA,NA
1986-04-01,NA,NA,NA,80,NA,NA
1986-05-01,NA,NA,NA,80,NA,NA
1986-06-01,NA,NA,NA,95,NA,NA
1986-07-01,NA,NA,NA,95,NA,NA
1986-08-01,NA,NA,NA,95,NA,NA
1986-09-01,NA,NA,NA,105,NA,NA
1986-10-01,NA,NA,NA,105,NA,NA
1986-11-01,NA,NA,NA,115,NA,NA
1986-12-01,NA,NA,NA,115,NA,NA
1987-01-01,NA,NA,NA,126,NA,NA
1987-02-01,NA,NA,NA,126,NA,NA
1987-03-01,NA,NA,NA,132,NA,NA
1987-04-01,NA,NA,NA,132,NA,NA
1987-05-01,NA,NA,NA,140,NA,NA
1987-06-01,NA,NA,NA,140,NA,NA
1987-07-01,NA,NA,NA,140,NA,NA
1987-08-01,NA,NA,NA,150,NA,NA
1987-09-01,NA,NA,NA,165,NA,NA
1987-10-01,NA,NA,NA,185,NA,NA
1987-11-01,NA,NA,NA,185,NA,NA
1987-12-01,NA,NA,NA,185,NA,NA
1988-01-01,NA,NA,NA,185,NA,NA
1988-02-01,NA,NA,NA,260,NA,NA
1988-03-01,NA,NA,NA,300,NA,NA
1988-04-01,NA,NA,NA,400,NA,NA
1988-05-01,NA,NA,NA,400,NA,NA
1988-06-01,NA,NA,NA,700,NA,NA
1988-07-01,NA,NA,NA,820,NA,NA
1988-08-01,NA,NA,NA,940,NA,NA
1988-09-01,NA,NA,NA,1185,NA,NA
1988-10-01,NA,NA,NA,1305,NA,NA
1988-11-01,NA,NA,NA,1305,NA,NA
1988-12-01,NA,NA,NA,1470,NA,NA
1989-01-01,NA,NA,NA,1470,NA,NA
1989-02-01,NA,NA,NA,1700,NA,NA
1989-03-01,NA,NA,NA,1700,NA,NA
1989-04-01,NA,NA,NA,2585,NA,NA
1989-05-01,NA,NA,NA,3232,NA,NA
1989-06-01,NA,NA,NA,7200,NA,NA
1989-07-01,NA,NA,NA,16400,NA,NA
1989-08-01,NA,NA,NA,28000,NA,NA
1989-09-01,NA,NA,NA,28000,NA,NA
1989-10-01,NA,NA,NA,40000,NA,NA
1989-11-01,NA,NA,NA,40000,NA,NA
1989-12-01,NA,NA,NA,64000,NA,NA
1990-01-01,NA,NA,NA,104600,NA,NA
1990-02-01,NA,NA,NA,130000,NA,NA
1990-03-01,NA,NA,NA,200200,NA,NA
1990-04-01,NA,NA,NA,400400,NA,NA
1990-05-01,NA,NA,NA,470470,NA,NA
1990-06-01,NA,NA,NA,530000,NA,NA
1990-07-01,NA,NA,NA,530000,NA,NA
1990-08-01,NA,NA,NA,620000,NA,NA
1990-09-01,NA,NA,NA,670000,NA,NA
1990-10-01,NA,NA,NA,750000,NA,NA
1990-11-01,NA,NA,NA,8e+05,NA,NA
1990-12-01,NA,NA,NA,8e+05,NA,NA
1991-01-01,NA,NA,NA,8e+05,NA,NA
1991-02-01,NA,NA,NA,1e+06,NA,NA
1991-03-01,NA,NA,NA,1200000,NA,NA
1991-04-01,NA,NA,NA,1200000,NA,NA
1991-05-01,NA,NA,NA,1200000,NA,NA
1991-06-01,NA,NA,NA,1200000,NA,NA
1991-07-01,NA,NA,NA,1200000,NA,NA
1991-08-01,NA,NA,NA,1500000,NA,NA
1991-09-01,NA,NA,NA,1500000,NA,NA
1991-10-01,NA,NA,NA,1500000,NA,NA
1991-11-01,NA,NA,NA,1500000,NA,NA
1991-12-01,NA,NA,NA,1500000,NA,NA
1992-01-01,NA,NA,NA,150,NA,NA
1992-02-01,NA,NA,NA,150,NA,NA
1992-03-01,NA,NA,NA,150,NA,NA
1992-04-01,NA,NA,NA,150,NA,NA
1992-05-01,NA,NA,NA,150,NA,NA
1992-06-01,NA,NA,NA,150,NA,NA
1992-07-01,NA,NA,NA,150,NA,NA
