fecha,mora_familias
2016-04-01,1.81338113187294
2016-05-01,1.8120268680668454
2016-06-01,1.9030854234005352
2016-07-01,1.916782304747501
2016-08-01,1.9086102155558207
2016-09-01,1.8713481202009636
2016-10-01,1.9040284415015536
2016-11-01,1.850459449272145
2016-12-01,1.875329059393227
2017-01-01,1.9463945199501742
2017-02-01,2.0625360375443202
2017-03-01,2.0912918627441117
2017-04-01,2.274708506501887
2017-05-01,2.2978720495815854
2017-06-01,2.479416761328261
2017-07-01,2.3754461294609603
2017-08-01,2.3252119898522103
2017-09-01,2.3369030282041514
2017-10-01,2.364360574169015
2017-11-01,2.404507243663776
2017-12-01,2.4624586469844023
2018-01-01,2.5240651033114054
2018-02-01,2.604422083293075
2018-03-01,2.7458999120286984
2018-04-01,2.8820080280603952
2018-05-01,3.079115475027714
2018-06-01,3.064818837100462
2018-07-01,3.169048889106284
2018-08-01,3.1689779132456963
2018-09-01,3.321249723508895
2018-10-01,3.4067342056765115
2018-11-01,3.5774620184487222
2018-12-01,3.687019980092869
2019-01-01,3.8520613055622204
2019-02-01,4.27920750790817
2019-03-01,4.231754634211026
2019-04-01,4.437413380450296
2019-05-01,4.688761116776114
2019-06-01,4.666495251679461
2019-07-01,4.472010614497712
2019-08-01,4.345990226289159
2019-09-01,3.9739912663322117
2019-10-01,3.6560491899735377
2019-11-01,3.640715207787796
2019-12-01,3.255615640370159
2020-01-01,3.2936710185939813
2020-02-01,3.4645012425081294
2020-03-01,2.2056356697584976
2020-04-01,2.255637422031305
2020-05-01,2.120233229150875
2020-06-01,1.9586589252050997
2020-07-01,1.8895788478685842
2020-08-01,1.7933553007111012
2020-09-01,1.665336978220425
2020-10-01,1.5503622837225581
2020-11-01,1.4304336215369697
2020-12-01,1.212052739319352
2021-01-01,1.2529740814117394
2021-02-01,1.2952559685595024
2021-03-01,1.9578173328322734
2021-04-01,2.761768560722256
2021-05-01,3.4310224378014085
2021-06-01,4.8038347981499046
2021-07-01,4.940478872734136
2021-08-01,4.7637889217731075
2021-09-01,4.048270904983574
2021-10-01,3.811875832466475
2021-11-01,3.286054268564092
2021-12-01,3.0272893294613006
2022-01-01,2.8579329402990936
2022-02-01,2.7011645366071586
2022-03-01,2.5809353231067327
2022-04-01,2.434547857349336
2022-05-01,2.247125945971019
2022-06-01,2.1169137659999264
2022-07-01,2.1504452186344882
2022-08-01,2.062847801276325
2022-09-01,1.9368269232589572
2022-10-01,1.9797954784230212
2022-11-01,1.8076960968294353
2022-12-01,1.94665597098366
2023-01-01,2.057232249078589
2023-02-01,2.087500173638441
2023-03-01,2.3259181299703644
2023-04-01,2.316157605871471
2023-05-01,2.194296917091231
2023-06-01,2.294124507647888
2023-07-01,2.275628833689811
2023-08-01,2.0221622423092116
2023-09-01,2.0494847101415776
2023-10-01,1.830625968341108
2023-11-01,1.6506765512778885
2023-12-01,1.7713950912781669
2024-01-01,1.7760611350635294
2024-02-01,1.6610282030270374
2024-03-01,1.8196706479493567
2024-04-01,1.8009999457828663
2024-05-01,2.025796731055599
2024-06-01,2.0050947507701244
2024-07-01,1.8951822000057996
2024-08-01,1.938215494783993
2024-09-01,1.9080693021254245
2024-10-01,1.7287457017607553
2024-11-01,1.8115704338761554
2024-12-01,1.9133094258644094
2025-01-01,2.016070492171323
2025-02-01,2.382856902585936
2025-03-01,2.752070770812862
2025-04-01,3.2434655760195876
2025-05-01,4.170216306930703
2025-06-01,4.873770491124144
2025-07-01,5.324956508904885
2025-08-01,6.651529855187055
2025-09-01,7.361703509337287
2025-10-01,7.66424090371897
2025-11-01,9.147171482773746
2025-12-01,9.317060204284271
2026-01-01,10.992362829178614
2026-02-01,11.645549243138943
2026-03-01,11.81151456450486
2026-04-01,12.475146504712644
