"fecha","ipc_nivel_general","div01_alimentos","div02_bebidas","div03_prendas","div04_vivienda","div05_equipamiento","div06_salud","div07_transporte","div08_comunicacion","div09_recreacion","div10_educacion","div11_restaurantes","div12_bienes_varios","ipc_regulados"
2020-06-01,321.9738,334.4636,272.9822,295.818,327.7297,323.992,348.9759,329.1348,365.8524,314.005,301.4521,294.9019,315.9472,331.8382
2020-07-01,328.2014,338.7648,276.7322,305.5099,331.0918,336.5455,356.5467,335.1763,368.496,324.3321,301.7724,300.6189,323.2643,333.55
2020-08-01,337.0632,350.5076,280.3346,312.2789,338.8038,348.1836,365.1113,344.7144,369.5853,335.0449,304.0824,306.2356,334.0208,336.9087
2020-09-01,346.6207,360.8692,292.3052,330.5055,343.9618,357.1864,377.8509,357.1236,370.0946,341.3154,304.9813,311.5692,340.0843,343.4046
2020-10-01,359.657,378.0896,297.8662,351.1551,351.9646,373.2176,389.5109,371.9913,369.6031,350.1056,305.3871,322.1058,347.2283,348.5355
2020-11-01,371.0211,388.3864,306.7433,364.0892,360.8388,387.9375,403.8029,385.4469,367.4745,367.9236,306.746,332.4733,356.3987,352.7236
2020-12-01,385.8826,405.2871,317.1521,377.2469,371.5185,397.2227,424.9668,404.314,367.3696,387.0686,306.8977,347.7424,362.5783,362.0665
2021-01-01,401.5071,424.8374,331.4265,382.4282,375.7501,409.0026,439.3776,422.9057,422.9513,405.7084,308.6755,366.4717,369.9824,380.6817
2021-02-01,415.8595,441.0722,343.3155,393.1944,383.4268,427.6367,454.7265,443.3079,430.6911,415.0224,309.01,386.2568,381.9169,388.8788
2021-03-01,435.8657,461.3238,365.3793,435.7025,388.4775,441.1744,472.856,461.8773,430.982,437.1879,397.0482,398.4108,390.3459,406.4306
2021-04-01,453.6503,481.2407,378.4685,461.9321,401.9368,460.1121,490.482,487.9806,433.2713,443.676,406.8828,413.8512,404.5705,420.7778
2021-05-01,468.725,496.1796,384.5689,471.6343,410.1034,470.991,513.7918,517.0463,437.5563,457.4624,416.1535,429.2946,416.3379,436.6403
2021-06-01,483.6049,512.2593,405.6917,487.9626,420.2876,486.2222,530.2766,533.8777,468.3691,467.7135,420.9305,442.6958,424.5201,450.6922
2021-07-01,498.0987,529.7087,418.2942,494.0248,432.405,499.4892,550.5464,546.1141,470.0952,482.1844,431.6135,463.7774,438.0619,457.2079
2021-08-01,510.3942,537.5867,426.7422,510.8956,437.3723,515.857,573.6501,559.4713,467.3059,500.0179,449.9,477.4438,452.5377,462.3809
2021-09-01,528.4968,553.4373,451.7961,541.712,445.7672,533.8161,598.3555,576.4905,480.2655,518.8505,463.9288,496.8871,462.336,476.0569
