"fecha","ynom_rel","priv_rel","pub_rel","jub_rel"
"2023-01-01",71.5570132632107,70.1136713329532,71.3485089490222,79.443167542591
"2023-02-01",75.9999514618838,76.0223612710396,74.0930142262409,79.443167542591
"2023-03-01",84.1720344167122,83.2351430110409,86.1783285305357,85.293314185726
"2023-04-01",91.0347150131344,91.3763549407809,89.6900298074381,91.7702622549112
"2023-05-01",97.6915933258134,97.7693992449806,97.2893686271722,98.038276515413
"2023-06-01",102.210943268449,101.392652822238,103.142923110232,104.721577540403
"2023-07-01",112.087052155636,110.538249089912,116.877672862768,111.189288209749
"2023-08-01",126.088727937299,128.455175662666,123.905389545906,117.872589234739
"2023-09-01",139.157969157862,141.096992624389,137.474764340685,132.228356973877
"2023-10-01",149.753763106342,150.347819047049,150.046856238031,146.121035431106
"2023-11-01",165.611837630782,167.968801716089,161.804296713033,160.476803170244
"2023-12-01",179.167480268143,182.887189889703,170.697155311053,175.657993536916
"2024-01-01",212.696424591109,224.488955914093,191.320850586522,191.345223582477
"2024-02-01",244.298054594768,260.124235950214,220.224079073197,207.032453628039
"2024-03-01",269.554143730157,286.190297386142,244.502560915107,229.906285498632
"2024-04-01",303.839411645094,328.086004577397,262.879313829741,254.357623015472
"2024-05-01",319.035766301933,339.314597084717,284.580822416855,278.020207709189
"2024-06-01",337.466461856677,357.571808013137,295.8047488977,310.804645451376
"2024-07-01",362.114079275385,382.571086242113,315.681380777039,342.53152068575
"2024-08-01",379.910507517238,398.59848552509,330.370991155236,375.315958427936
"2024-09-01",395.042657805487,412.351318023567,343.320569369202,401.686637971037
"2024-10-01",418.012461063931,437.731187043849,358.21797697693,427.206650432102
"2024-11-01",429.744111356661,447.354591991831,367.97366144151,453.577329975202
"2024-12-01",443.27190468779,463.701374529723,374.302489172734,465.90091671007
"2025-01-01",453.267014493064,475.516676749684,377.765296983864,478.635289669433
"2025-02-01",466.886887319615,488.13705147034,394.640732890682,491.369662628796
"2025-03-01",481.97539524817,505.065056068676,407.578087738206,500.919019720034
"2025-04-01",491.047412454775,513.784929659068,416.826142984627,511.491522213905
"2025-05-01",495.752932848099,514.210608912976,430.480362322951,521.722976240232
"2025-06-01",509.683380381413,531.534893061546,436.00244786894,533.720908758218
"2025-07-01",518.385141187267,539.230374705018,445.945796959498,545.331811194978
"2025-08-01",531.61238189758,552.972627355126,458.398531278636,557.329743712964
"2025-09-01",538.608650715648,558.984329144569,463.620784835995,572.751504523899
"2025-10-01",551.355616656054,572.745253293277,472.379905424698,587.675789179643
"2025-11-01",558.462355881655,578.852682962364,477.812832297809,603.097549990579
"2025-12-01",578.992740621303,606.305088987655,482.520266421454,617.210036053497
"2026-01-01",589.291671969569,616.213925032022,491.254940277271,632.455131416527
"2026-02-01",606.870680757547,635.912140773346,502.698168332533,650.480101539301
"2026-03-01",621.483185974915,645.863389884901,528.07315804653,669.213937009852
"2026-04-01",641.407127970852,668.6252920645,540.377054903687,688.621149294802
"2026-05-01",642.724906710211,663.276289727984,548.482710727242,711.896539292074
"2026-06-01",653.621270949886,669.909052625264,567.240819434114,730.263466782871
