IPCBA (base 2021 = 100) según principales aperturas. Índice mensual. Ciudad de Buenos Aires. Febrero de 2022 / julio de 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apertura,Índice ¹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,01/01/2023,02/01/2023,03/01/2023,04/01/2023,05/01/2023,06/01/2023,07/01/2023,08/01/2023,09/01/2023,10/01/2023,11/01/2023,12/01/2023,01/01/2024,02/01/2024,03/01/2024,04/01/2024,05/01/2024,06/01/2024,07/01/2024,08/01/2024,09/01/2024,10/01/2024,11/01/2024,12/01/2024,01/01/2025,02/01/2025,03/01/2025,04/01/2025,05/01/2025,06/01/2025,07/01/2025,08/01/2025,09/01/2025,10/01/2025,11/01/2025,12/01/2025,01/01/2026,02/01/2026,03/01/2026,04/01/2026,05/01/2026,06/01/2026,07/01/2026
"Azúcar, repostería y postres",129.85,134.6,143.31,151.04,159.82,171.86,186.69,198.69,212.69,225.08,237.11,246.34,258.39,276.53,300.89,334.36,374.13,408.8,450.48,505.17,566.18,646.35,844.26,1060.56,1209.58,1297.38,1350.79,1379.2,1413.05,1454.33,1505.81,1562.95,1602.91,1657.04,1714.87,1753.71,1780.3,1843.27,1877.15,1905.21,1946.21,1974.67,2011.56,2049.05,2081.53,2148.29,2183.15,2285.19,2310.42,2343.69,2433.86,2516.69,2527.32,2585.89
Otros alimentos,123.5,129.33,140.26,147.27,157.92,167.03,180.46,191.28,206.58,218.22,228.97,240.93,253.97,267.14,288.41,309.65,331.7,349.42,391.15,446.83,485.93,541.19,725.68,1061.5,1245.06,1355.61,1388.75,1438.71,1473.18,1525.56,1573.3,1626.74,1679.93,1702.27,1741.65,1793.89,1819.92,1845.72,1862,1888.91,1939.73,1956.49,1967.65,2013.82,2020.54,2080.05,2114.91,2178.83,2199.66,2222.16,2288.06,2347.87,2363.35,2400.61
Bebidas no alcohólicas,129.75,136.32,143.08,150.95,160.41,173.73,185.81,201.19,216.14,228.72,243.89,254.87,266.96,281.6,299.86,322.26,346.51,371.35,407.59,459.71,507.61,587.38,791.43,1068.68,1267.66,1379.93,1402.08,1443.21,1479.76,1523.88,1562.26,1596.62,1667.35,1731.01,1781.48,1811.54,1848.12,1874.85,1915.21,1950.96,1982.95,2015.31,2024.71,2055.88,2104.21,2155.45,2192.18,2248.73,2305.18,2356.76,2412.45,2468.38,2505.68,2529.9
Bebidas alcohólicas y tabaco,131.04,137.36,142.52,149.34,158.35,171.24,182.64,200.88,213.76,227.63,244.51,259.81,274.63,296.56,311.39,338.11,352.11,377.74,402.96,447.87,488.64,549.41,677.16,831.04,1008.2,1140.57,1207.2,1279.43,1319.98,1407.37,1474.77,1542.07,1603.07,1665.15,1738.18,1780.1,1806.35,1821.27,1884.01,1888.04,1943.52,1960.81,1993.54,2014.94,2065.68,2098.38,2146.51,2199.98,2229.67,2278.65,2303.09,2331.88,2379.83,2427.98
Bebidas alcohólicas,137.6,144.2,151.85,159.18,167.85,184.49,195.88,213.35,231.01,244.72,261.33,275.74,291.01,307.2,328.12,352.01,373.16,395.37,424.4,469.31,510.65,575.65,715.74,890.1,1054.63,1155.43,1226.67,1273.63,1323.36,1368.12,1433.93,1528.28,1610.8,1684.15,1776.11,1815.98,1829.71,1849.18,1897.37,1894.66,1935.09,1951.24,1943.8,1968.56,1991.13,2024.58,2055.3,2107.21,2149.94,2178.44,2202,2240.04,2264.81,2296.69
Vinos,137.93,143.69,151.92,160.87,171.23,188.22,201.41,223.78,238.77,253.41,267.38,281.83,298.17,314.95,337.2,362.02,384.32,412.74,444.19,491.55,537.19,604.55,738.49,888.75,1029.68,1146.23,1236.39,1270.39,1330.21,1371.46,1427.95,1487.45,1541.06,1595.22,1640.24,1694.3,1702.45,1736.08,1764.91,1778.36,1792.26,1826.29,1838.06,1850.16,1857.31,1893.96,1914.11,1938.5,1950.33,1949.19,1972.86,2015.58,2029.94,2045.46
Cerveza,136.7,144.82,151.54,155.8,161.97,177.85,185.98,195.83,218.82,231.32,253.3,268.08,281.71,296.99,315.68,339.18,359.45,373.12,398.26,440.04,475.08,539.56,691.82,906.55,1111.28,1177.11,1212.6,1280.99,1316.77,1369.14,1450.49,1607.25,1739.1,1849.93,2028.17,2049.89,2073.28,2067.16,2151.19,2121.03,2206.79,2191.36,2149.79,2197.92,2248.55,2278.07,2331.43,2430.24,2526.14,2603.16,2625.78,2655.58,2703.25,2762.26
Tabaco,118.73,124.51,125.01,130.88,140.51,146.36,157.8,177.46,181.38,195.56,212.93,229.92,243.89,276.57,280,312.03,312.6,344.65,362.71,407.63,447.31,500.15,604.75,720.19,921.04,1112.69,1170.65,1290.32,1313.63,1481.05,1551.4,1567.94,1588.56,1629.48,1667.01,1712.75,1762.5,1768.89,1858.95,1875.61,1959.33,1978.78,2086.89,2101.99,2205.62,2236.9,2317.7,2374.11,2379.31,2466.76,2492.83,2504.27,2595.72,2674.41
Prendas de vestir y calzado,129.1,141.34,153.09,161.15,170.09,186.13,203.04,222.01,235.49,243.88,259.99,266,276.66,304.65,333.33,359.82,374.43,387.67,425.97,491.64,547.45,601.19,698.41,772.56,848.47,946.25,1004.62,1027.21,1060.79,1069.76,1108.85,1171.08,1229.19,1256.76,1262.86,1250.7,1264.19,1321.09,1370.46,1382.66,1387.49,1364.77,1359.69,1389.65,1425.24,1439.7,1457.67,1443.82,1443.68,1498.68,1540.18,1547.1,1536.79,1511.48
Prendas de vestir,129.46,143.79,157.88,166.04,175.6,191.4,208.94,228.67,244.07,252.83,270,274.49,283.92,315.31,348.43,376.67,390.35,402.05,442.84,506.65,562.44,612.73,696.94,758.14,836.6,943.63,1008,1032.47,1065.05,1067.64,1102.62,1170.25,1237.33,1268.73,1271.91,1249.52,1261.25,1329.97,1387.16,1403.5,1410.77,1375.95,1370.43,1405,1444.7,1465.03,1471.82,1444.33,1439.69,1505.09,1559.06,1564.25,1547.38,1517.31
