"mes","pf_rel"
"2012-07",6.30125307767472
"2012-08",6.4653672270396
"2012-09",6.54466247894191
"2012-10",6.63317916355076
"2012-11",6.81913015556139
"2012-12",6.926231395327
"2013-01",7.16246080902589
"2013-02",7.27684196177942
"2013-03",7.34246252874416
"2013-04",7.48603657258285
"2013-05",7.55705932011527
"2013-06",7.6707850938395
"2013-07",7.81613410720036
"2013-08",7.94939070157125
"2013-09",8.04903521295244
"2013-10",8.13695486850083
"2013-11",8.31613761937241
"2013-12",8.46377142847696
"2014-01",8.95641034235033
"2014-02",9.21929987898377
"2014-03",9.5306008795801
"2014-04",9.9508712565509
"2014-05",10.2030672158284
"2014-06",10.6209789596529
"2014-07",10.9212924606781
"2014-08",11.3732582527493
"2014-09",11.5656115241208
"2014-10",11.7226693579021
"2014-11",11.893719302926
"2014-12",12.006287534152
"2015-01",12.1114867637248
"2015-02",12.2552943821525
"2015-03",12.4837627636681
"2015-04",12.6768522544501
"2015-05",12.9803902757631
"2015-06",13.1574232270853
"2015-07",13.3818098516915
"2015-08",13.6392290875958
"2015-09",13.7640596054274
"2015-10",13.9639306704227
"2015-11",14.1573217669376
"2015-12",14.4802165223988
"2016-01",14.7825878877097
"2016-02",16.3557853545877
"2016-03",16.9851200198707
"2016-04",20.0888107222219
"2016-05",21.0938737121724
"2016-06",21.7654194608482
"2016-07",22.0476621988517
"2016-08",20.1747751881581
"2016-09",20.3060388398137
"2016-10",21.9358723726964
"2016-11",22.5837948482471
"2016-12",22.8315053590629
"2017-01",23.2386721867378
"2017-02",24.5224585423145
"2017-03",26.0286881928856
"2017-04",27.176157249528
"2017-05",27.4216432435867
"2017-06",27.7401673952921
"2017-07",28.171989296153
"2017-08",28.6721327256815
"2017-09",28.9870186273184
"2017-10",29.3665948590077
"2017-11",29.7289828083655
"2017-12",33.1213335591357
"2018-01",33.5207062317192
"2018-02",35.1712276003147
"2018-03",35.8769654675628
"2018-04",38.2803032476822
"2018-05",38.5369285041913
"2018-06",39.646705572516
"2018-07",40.2787863855633
"2018-08",42.8472481008437
"2018-09",44.4386988364148
"2018-10",47.5414719998761
"2018-11",48.6720875349166
"2018-12",49.6128835074788
"2019-01",51.7492838908546
"2019-02",54.6847541917655
"2019-03",57.5014142817447
"2019-04",59.5977389326485
"2019-05",61.6874034300577
"2019-06",63.8572186505065
"2019-07",64.7481496327311
"2019-08",66.1896251511955
"2019-09",67.4453993108101
"2019-10",68.4507220271994
"2019-11",70.4924525950603
"2019-12",72.9225177020273
"2020-01",73.2372346459168
"2020-02",74.1174879708465
"2020-03",75.9734014148014
"2020-04",76.4881208111042
"2020-05",76.64297033129
"2020-06",76.9567632508391
"2020-07",77.3822404837341
"2020-08",78.1772994917753
"2020-09",79.0420767826172
"2020-10",79.9547830771027
"2020-11",80.933339644252
"2020-12",83.1197947462326
"2021-01",85.4807458159523
"2021-02",87.1037104064189
"2021-03",90.3363097003994
"2021-04",93.1630022289769
"2021-05",97.2738695594433
"2021-06",100.561815829065
"2021-07",101.763027312466
"2021-08",104.177735972032
"2021-09",106.255827420419
"2021-10",108.227578377923
"2021-11",109.726675749546
"2021-12",111.867202610641
"2022-01",114.978133066076
"2022-02",118.092666666667
"2022-03",128.701975308642
"2022-04",134.250592592593
"2022-05",140.853827160494
"2022-06",149.520716049383
"2022-07",155.814444444444
"2022-08",162.710765432099
"2022-09",169.760395061728
"2022-10",183.69837037037
"2022-11",197.537407407407
"2022-12",206.133209876543
"2023-01",220.642469135802
"2023-02",234.071358024691
"2023-03",250.454419753086
"2023-04",269.543283950617
"2023-05",309.36237037037
"2023-06",334.516345679012
"2023-07",350.889481481482
"2023-08",380.605901234568
"2023-09",408.956864197531
"2023-10",433.988172839506
"2023-11",470.04150617284
"2023-12",555.855432098766
"2024-01",670.010814814815
"2024-02",816.599827160494
"2024-03",993.093654320988
"2024-04",1203.44614814815
"2024-05",1246.75056790123
"2024-06",1380.59555555556
"2024-07",1432.61432098765
"2024-08",1513.08962962963
"2024-09",1580.01372839506
"2024-10",1620.3770617284
"2024-11",1680.66982716049
"2024-12",1737.67491358025
"2025-01",1784.66533333333
"2025-02",1814.09748148148
"2025-03",1870.49530864198
"2025-04",1910.62530864198
"2025-05",1934.1164691358
"2025-06",1980.6742962963
"2025-07",2026.128
"2025-08",2064.79343209877
"2025-09",2113.18538271605
"2025-10",2151.12318518519
"2025-11",2214.7887654321
"2025-12",2288.64706172839
"2026-01",2332.43804938272
"2026-02",2476.42955555556
"2026-03",2596.86409876543
"2026-04",2673.55281481482
"2026-05",2727.99488888889
"2026-06",2776.70782716049
"2026-07",2862.73079012346
