"fecha","ipc2017_rel"
2023-01-01,72.1257862069432
2023-02-01,77.1697463761769
2023-03-01,82.8923969996409
2023-04-01,89.9001828518842
2023-05-01,98.3112260028197
2023-06-01,104.646099793932
2023-07-01,111.244253180517
2023-08-01,124.39449698679
2023-09-01,139.315811601297
2023-10-01,150.734138862691
2023-11-01,169.090488546033
2023-12-01,210.360860669124
2024-01-01,253.689654630873
2024-02-01,291.308147880386
2024-03-01,328.073947720729
2024-04-01,361.169712904644
2024-05-01,376.841766193867
2024-06-01,397.473133490152
2024-07-01,412.062368669598
2024-08-01,428.773208323499
2024-09-01,442.723561202934
2024-10-01,453.793620601364
2024-11-01,465.361811819227
2024-12-01,477.518028028557
2025-01-01,487.641546856309
2025-02-01,499.227866244948
2025-03-01,517.119067112837
2025-04-01,531.015891038981
2025-05-01,538.446328932464
2025-06-01,547.16379112418
2025-07-01,558.500269400746
2025-08-01,569.095841770641
2025-09-01,581.006483221538
2025-10-01,594.058815638789
2025-11-01,609.30599345167
2025-12-01,626.472759504378
2026-01-01,643.191222105795
2026-02-01,665.907262725665
2026-03-01,689.440485095061
2026-04-01,705.748143272882
2026-05-01,720.791164636766
2026-06-01,733.718152220925
